revision,effective_date,change,ch99_code,authority,rate_pct,description
rev_7,2025-04-02,added,9903.01.58,other,29,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Pakistan, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.59,other,30,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Algeria, Nauru, or South Africa, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.60,other,31,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Libya, Moldova, or Switzerland, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.61,other,32,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Angola, Fiji, Indonesia, or Taiwan, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.62,other,33,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of North Macedonia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.63,other,34,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of China, including Hong Kong and Macau, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.64,other,35,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Bosnia and Herzegovina, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.65,other,36,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Thailand, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.66,other,37,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Bangladesh, Botswana, Liechtenstein, or Serbia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.67,other,38,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Guyana, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.68,other,39,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Iraq, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.69,other,40,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Mauritius, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.70,other,41,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Falkland Islands or Syria, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.71,other,44,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Myanmar (Burma) or Sri Lanka, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.72,other,46,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Vietnam, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.73,other,47,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Madagascar, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.74,other,48,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Laos, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.75,other,49,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Cambodia, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,added,9903.01.76,other,50,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in headings 9903.01.28-9903.01.33, and except as provided for in heading 9903.01.34, articles the product of Lesotho, as provided for in subdivision (v) of U.S. note 2 to this subchapter"
rev_7,2025-04-02,suspended,9903.88.16,section_301,NA,"Articles the product of China, as provided for in U.S. note 20(t) to this subchapter and as provided for in the subheadings enumerated in U.S. note 20(u) [Compiler's note: provision suspended.]"
rev_8,2025-04-03,rate_change,9903.01.63,other,84,34% -> 84%
rev_9,2025-04-05,rate_change,9903.01.63,other,125,84% -> 125%
rev_9,2025-04-05,suspended,9903.01.43,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.44,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.45,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.46,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.47,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.48,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.49,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.50,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.51,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.52,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.53,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.54,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.55,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.56,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.57,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.58,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.59,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.60,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.61,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.62,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.64,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.65,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.66,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.67,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.68,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.69,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.70,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.71,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.72,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.73,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
rev_9,2025-04-05,suspended,9903.01.74,other,NA,"Except for goods loaded onto a vessel at the port of loading and in transit on the final mode of transit before 12:01 a.m. eastern daylight time on April 9, 2025, except for products described in head"
